"filename", "language", "C++", "YAML", "CMake", "Markdown", "Swift", "JSON", "HTML", "XML", "Dart", "Java Properties", "Gradle", "comment", "blank", "total"
"e:\MyProjects\cinemind\lib\model\production_company.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"e:\MyProjects\cinemind\lib\model\profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"e:\MyProjects\cinemind\lib\model\season.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"e:\MyProjects\cinemind\lib\model\trending_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"e:\MyProjects\cinemind\lib\model\tv_series.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 5, 83
"e:\MyProjects\cinemind\lib\module\authentication\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\authentication\registration_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\detail\actor_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\detail\movie_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\detail\season_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\detail\series_deatil_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\detail\upcoming_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\favorit_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 3, 11, 301
"e:\MyProjects\cinemind\lib\module\impulse_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\notification_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\onboarding\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\MyProjects\cinemind\lib\module\profile\edit_profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\profile\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\search\search_result_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\search\search_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\module\tv_series_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\cinemind\lib\module\wishlist_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"e:\MyProjects\cinemind\lib\shared\cubit\movie\movie_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 71
"e:\MyProjects\cinemind\lib\shared\cubit\movie\movie_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 12, 54
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_detail\tv_detail_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 9, 88
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_detail\tv_detail_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 5, 13, 72
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_top_rated\tv_popular_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_top_rated\tv_popular_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 11, 37
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_trending\tv_trending_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"e:\MyProjects\cinemind\lib\shared\cubit\tv\tv_trending\tv_trending_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 11, 36
"e:\MyProjects\cinemind\lib\shared\repo\movie_repo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 8, 17, 94
"e:\MyProjects\cinemind\lib\shared\repo\tv_repo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 8, 24, 145
"e:\MyProjects\cinemind\lib\shared\service\hive_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 7, 35
"e:\MyProjects\cinemind\lib\shared\service\movie_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"e:\MyProjects\cinemind\lib\shared\service\search_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 3, 15, 170
"e:\MyProjects\cinemind\lib\shared\service\tv_serie_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 3, 12, 175
"e:\MyProjects\cinemind\lib\shared\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 5, 61
"e:\MyProjects\cinemind\lib\shared\widget\card\animated_progress_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 7, 7, 96
"e:\MyProjects\cinemind\lib\shared\widget\card\auto_scrolling_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 2, 14, 128
"e:\MyProjects\cinemind\lib\shared\widget\card\movie_card_horiz.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 6, 93
"e:\MyProjects\cinemind\lib\shared\widget\card\tv_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 6, 19, 207
"e:\MyProjects\cinemind\linux\CMakeLists.txt", "CMake", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\MyProjects\cinemind\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\MyProjects\cinemind\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\MyProjects\cinemind\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\MyProjects\cinemind\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\MyProjects\cinemind\linux\runner\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\MyProjects\cinemind\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyProjects\cinemind\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"e:\MyProjects\cinemind\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\MyProjects\cinemind\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"e:\MyProjects\cinemind\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\MyProjects\cinemind\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\MyProjects\cinemind\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"e:\MyProjects\cinemind\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"e:\MyProjects\cinemind\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MyProjects\cinemind\pubspec.yaml", "YAML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"e:\MyProjects\cinemind\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 10, 7, 31
"e:\MyProjects\cinemind\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 15, 19, 113
"e:\MyProjects\cinemind\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"e:\MyProjects\cinemind\windows\CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\MyProjects\cinemind\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\MyProjects\cinemind\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"e:\MyProjects\cinemind\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\MyProjects\cinemind\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\MyProjects\cinemind\windows\runner\CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\MyProjects\cinemind\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\MyProjects\cinemind\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\MyProjects\cinemind\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\MyProjects\cinemind\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\MyProjects\cinemind\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\MyProjects\cinemind\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\MyProjects\cinemind\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\MyProjects\cinemind\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 546, 52, 463, 31, 59, 177, 79, 519, 2647, 8, 76, 309, 730, 5696
